Dataset_Name,Samples
aio,"[{'original_question': 'JRのICカードで、「Suica」のマスコットキャラクターはペンギンですが、「ICOCA」のマスコットキャラクターはどんな動物でしょう？', 'original_answer': 'カモノハシ'}]"
aio,"[{'original_question': '日本のホラー映画で、貞子が登場するのは『リング』ですが、伽椰子(かやこ)が登場するのは何でしょう？', 'original_answer': '『呪怨』'}]"
aio,"[{'original_question': '国政選挙などで、その土地に全くゆかりの無い候補者のことを俗に「何候補」というでしょう？', 'original_answer': '落下傘（らっかさん）候補'}]"
aio,"[{'original_question': '「古代エジプト学の父」とされるフランスの考古学者で、ロゼッタストーンの碑文からヒエログリフの解読に成功したのは誰でしょう？', 'original_answer': 'ジャン=フランソワ・シャンポリオン［Jean-Francois Champollion］'}]"
aio,"[{'original_question': '赤レンガ倉庫、山下公園、中華街、ランドマークタワーといえば、どこの都市の観光地でしょう？', 'original_answer': '横浜'}]"
alt_jp,"[{'text': '保守党のリーダー・スティーヴン・ハーパーが彼の党が支持すると言ったので、主要な予算案、C-４３に関する第二読会投票の結果はそれほど劇的ではなかった。', 'value': '(S (S (SBAR (S (PP-SBJ (NP (NP (PP (BASENP (NNP 保守党)) (IN の)) (NN リーダー)) (COMMA ・) (BASENP (NNP スティーヴン) (NNP ・) (NNP ハーパー))) (IN が)) (VP (SBAR (S-NOBJ (PP-SBJ (NP (PP (BASENP (NN 彼)) (IN の)) (NN 党)) (IN が)) (VP (NN 支持) (VB する))) (INQT と)) (VP (VBV 言っ) (VP (MD た))))) (INCON ので)) (COMMA 、) (S (PP-SBJ (NP (PP (NP (PP (NP (BASENP (ADJP (NN 主要) (MDO な)) (NN 予算) (NN 案)) (COMMA 、) (BASENP (NN Ｃ) (NN －) (NN ４３))) (INPH に関する)) (BASENP (PRE 第) (NN 二) (NN 読会) (NN 投票))) (IN の)) (NN 結果)) (IN は)) (ADJP (ADVP (RB それほど)) (ADJP (NN 劇的) (VP (VP (MDV で) (IN は)) (VP (MDV なかっ) (VP (MD た)))))))) (PERIOD 。))'}]"
alt_jp,"[{'text': 'ニュージーランド政府は、首相のヘレン・クラーク氏に送られた、口蹄疫がワイヘキ島に意図的に伝播されたと主張する手紙への対応を迫られた。', 'value': '(S (S (PP-SBJ (BASENP (NNP ニュージーランド) (NNP 政府)) (IN は)) (COMMA 、) (VP (PP-OBJ (NP (PP (PP (NP (S-REL-NSBJ (VP (PP (NP (PP (BASENP (NN 首相)) (IN の)) (BASENP (NNP ヘレン) (NNP ・) (NNP クラーク) (NN 氏))) (IN に)) (VP (VP (VBO 送ら) (VP (VBV れ))) (VP (MD た))))) (COMMA 、) (NP (S-REL-NSBJ (VP (SBAR (S (PP-SBJ (BASENP (NN 口蹄疫)) (IN が)) (VP (PP (BASENP (NNP ワイヘキ) (NNP 島)) (IN に)) (VP (ADVP (ADJP (NN 意図) (NN 的)) (INRB に)) (VP (VP (VP (NN 伝播) (VBO さ)) (VP (VBV れ))) (VP (MD た)))))) (INQT と)) (VP (NN 主張) (VB する)))) (NN 手紙))) (IN へ)) (IN の)) (NN 対応)) (IN を)) (VP (VP (VBO 迫ら) (VP (VBV れ))) (VP (MD た))))) (PERIOD 。))'}]"
alt_jp,"[{'text': '近隣住人による苦情を受け、動物管理局員は女性が亡くなった時、急いで犬を探した。', 'value': '(S (S (SINV (VP (PP-OBJ (NP (PP (BASENP (NN 近隣) (NN 住人)) (INPH による)) (NN 苦情)) (IN を)) (VBV 受け)) (COMMA 、) (PP-SBJ (BASENP (NNP 動物) (NNP 管理) (NNP 局) (NN 員)) (IN は))) (S (SBAR (S (PP-SBJ (BASENP (NN 女性)) (IN が)) (VP (VBV 亡くなっ) (VP (MD た)))) (NN 時)) (COMMA 、) (S-NSBJ (VP (ADVP (VBV 急い) (INCON で)) (VP (PP-OBJ (BASENP (NN 犬)) (IN を)) (VP (VBV 探し) (VP (MD た)))))))) (PERIOD 。))'}]"
alt_jp,"[{'text': 'アンティグアで休日中に妻と共に撃たれたイギリス人のベンジャミン・Mullanyが死亡した。', 'value': '(S (S (PP-SBJ (NP (S-REL (PP (BASENP (NNP アンティグア)) (IN で)) (S (PP (BASENP (NN 休日) (NN 中)) (IN に)) (S (PP (BASENP (NN 妻)) (INPH と共に)) (S-NSBJ (VP (VP (VBO 撃た) (VP (VBV れ))) (VP (MD た))))))) (NP (PP (BASENP (NNP イギリス) (NN 人)) (IN の)) (BASENP (NNP ベンジャミン) (NNP ・) (NNP Ｍｕｌｌａｎｙ)))) (IN が)) (VP (VP (NN 死亡) (VBV し)) (VP (MD た)))) (PERIOD 。))'}]"
alt_jp,"[{'text': '彼はたった8メートル（26.2フィート）の距離から、オランダのゴールキーパー、マールテン・ステケレンブルフのわきにボールをなんとか通した。', 'value': '(S (S (PP-SBJ (BASENP (NN 彼)) (IN は)) (VP (PP (NP (PP (NP (BASENP (QP (RB たった) (NN ８)) (NN メートル)) (PRN (LRB （) (BASENP (NN ２６．２) (NN フィート)) (RRB ）))) (IN の)) (NN 距離)) (IN から)) (COMMA 、) (VP (PP (NP (PP (NP (NP (PP (BASENP (NNP オランダ)) (IN の)) (NN ゴールキーパー)) (COMMA 、) (BASENP (NNP マールテン) (NNP ・) (NNP ステケレンブルフ))) (IN の)) (NN わき)) (IN に)) (VP (PP-OBJ (BASENP (NN ボール)) (IN を)) (VP (ADVP (RB なんとか)) (VP (VBV 通し) (VP (MD た)))))))) (PERIOD 。))'}]"
